"salchan1_name","chan3_name","chan2_name","chan1_name","sales1_name","dma1_name","dma2_name"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_1","CHICAGO-IL"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_1","DETROIT-MI"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_1","PHILADELPHIA-PA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_1","TRI-STATE-NY/NJ/CT"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","ATLANTA-GA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","BALTIMORE-MD"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","BOSTON-MA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","CLEVELAND-OH"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","COLUMBUS-OH"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","DENVER-CO"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","HARRISBURG/LANCASTER-PA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","MILWAUKEE-WI"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","MINNEAPOLIS-MN"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","NEW HAVEN/HARTFORD-CT"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_2","ORLANDO/DAYTONA/MELBOURNE-FL"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","CHAMPAIGN/SPRINGFIELD-IL"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","DAYTON-OH"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","FLAGSTAFF-AZ"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","FLINT/SAGINAW-BAY CITY-MI"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","GRAND RAPIDS/KALAMAZOO-MI"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","KANSAS CITY-KS / MO"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","LOUISVILLE-KY"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","PHOENIX-AZ"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","TOLEDO-OH"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_3","WILKES-BARRE-PA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","ALBANY-NY"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","ALPENA-MI"
